smiles,measured log solubility in mols per litre
CC(C)N(C(=O)CCl)c1ccccc1,-2.48
c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,-5.64
COc2cc1c(N)nc(nc1c(OC)c2OC)N3CCN(CC3)C(=O)OCC(C)(C)O,-3.638
ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl,-6.307
CCCOC=O,-0.49
Cn1cnc2n(C)c(=O)[nH]c(=O)c12,-2.523
Cc2ncc1nccnc1n2,-0.12
Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl,-7.68
CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2CC(C)(C)Oc21)C(C)C,-4.71
O=N(=O)c1ccccc1,-1.8
CCC=O,0.58
C1CCC=CC1,-2.59
CC(=O)C(C)(C)C,-0.72
O=C2NC(=O)C1(CC1)C(=O)N2,-1.886
Brc1ccc2ccccc2c1,-4.4
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-8.94
CN(C)C(=O)Nc1ccc(Cl)cc1,-2.89
NC(N)=NC#N,-0.31
CCCCCCCCCO,-3.01
Oc1cccc(c1)N(=O)=O,-1.01
OC1C(O)C(O)C(O)C(O)C1O,0.35
COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1,-4.04
Cc1ccc(C)c(C)c1,-3.31
CCCC1C(=O)N3N(C1=O)c2cc(C)ccc2N=C3N(C)C,-3.5380000000000003
CC(=O)Nc1ccccc1,-1.33
CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O,-1.9809999999999999
CCCC(=O)CCC,-1.3
C/C1CCCCC1\C,-4.3
C1=Cc2cccc3cccc1c23,-3.96
C1CCc2ccccc2C1,-4.37
CCC(C)C1(CC(Br)=C)C(=O)NC(=O)NC1=O,-2.647
CCI,-1.6
Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,-3.094
Ic1cccc2ccccc12,-4.55
CCCN(=O)=O,-0.8
CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,-5.03
C1c2ccccc2c3ccc4ccccc4c13,-6.68
CC=CC=O,0.32
CCN2c1nc(N(C)(CCO))ccc1NC(=O)c3cccnc23,-3.36
CS(=O)(=O)c1ccc(cc1)C(O)C(CO)NC(=O)C(Cl)Cl,-2.154
Ic1ccccc1,-3.01
Cc1cc(=O)n(c2ccccc2)n1C,0.715
Clc1cccc(Cl)c1c2c(Cl)cccc2Cl,-7.39
Cc1ccccc1Cl,-3.52
FC(F)(Cl)C(F)(Cl)Cl,-3.04
CCC(C)C,-3.18
NC(=O)c1cccnc1,0.61
CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl,-4.046
CCOC(=O)CC,-0.66
CC(C)C1CCC(C)CC1=O,-2.35
